Date,Cases,Hospitalization,Death
2/29/2020,1,11,0
3/1/2020,1,4,0
3/2/2020,0,22,0
3/3/2020,2,20,0
3/4/2020,5,22,0
3/5/2020,3,20,0
3/6/2020,8,18,0
3/7/2020,7,15,0
3/8/2020,21,18,0
3/9/2020,58,49,0
3/10/2020,70,63,0
3/11/2020,154,89,1
3/12/2020,357,87,0
3/13/2020,620,149,0
3/14/2020,644,155,2
3/15/2020,1035,187,5
3/16/2020,2123,311,8
3/17/2020,2455,352,8
3/18/2020,2984,463,20
3/19/2020,3714,552,24
3/20/2020,4014,662,46
3/21/2020,2639,696,44
3/22/2020,2582,726,50
3/23/2020,3570,1035,82
3/24/2020,4507,1151,94
3/25/2020,4846,1292,120
3/26/2020,5028,1432,186
3/27/2020,5103,1377,212
3/28/2020,3467,1347,266
3/29/2020,3534,1391,285
3/30/2020,6124,1699,322
3/31/2020,5447,1674,372
4/1/2020,5448,1579,432
4/2/2020,5764,1614,487
4/3/2020,5674,1597,485
4/4/2020,3867,1341,489
4/5/2020,3790,1327,569
4/6/2020,6376,1719,565
4/7/2020,6064,1599,589
4/8/2020,5585,1535,546
4/9/2020,5073,1427,540
4/10/2020,4520,1336,519
4/11/2020,3730,1099,528
4/12/2020,2884,991,557
4/13/2020,3310,1213,551
4/14/2020,4145,1085,507
4/15/2020,3875,983,438
4/16/2020,3525,882,400
4/17/2020,3578,900,368
4/18/2020,2167,658,363
4/19/2020,2344,591,375
4/20/2020,3786,721,350
4/21/2020,3061,659,304
4/22/2020,3458,599,299
4/23/2020,2842,531,309
4/24/2020,2537,549,299
4/25/2020,1594,400,244
4/26/2020,1003,375,231
4/27/2020,2288,445,258
4/28/2020,2729,442,219
4/29/2020,2341,408,233
4/30/2020,2017,339,212
5/1/2020,1880,349,206
5/2/2020,1057,261,189
5/3/2020,785,256,171
5/4/2020,1546,309,153
5/5/2020,1511,282,149
5/6/2020,1401,257,144
5/7/2020,1231,252,134
5/8/2020,1086,254,126
5/9/2020,660,182,98
5/10/2020,459,151,96
5/11/2020,1231,246,100
5/12/2020,1284,200,88
5/13/2020,1326,219,75
5/14/2020,1111,216,66
5/15/2020,872,228,85
5/16/2020,490,165,82
5/17/2020,361,123,74
5/18/2020,901,178,55
5/19/2020,1006,204,53
5/20/2020,1070,165,76
5/21/2020,1067,172,45
5/22/2020,1061,196,63
5/23/2020,464,130,60
5/24/2020,479,121,47
5/25/2020,465,141,49
5/26/2020,1053,150,37
5/27/2020,753,162,49
5/28/2020,633,141,38
5/29/2020,649,160,43
5/30/2020,346,94,52
5/31/2020,215,91,39
6/1/2020,663,123,33
6/2/2020,575,125,37
6/3/2020,511,114,41
6/4/2020,511,88,32
6/5/2020,408,63,26
6/6/2020,246,48,33
6/7/2020,196,45,24
6/8/2020,442,60,38
6/9/2020,423,50,32
6/10/2020,365,46,30
6/11/2020,353,38,20
6/12/2020,404,51,22
6/13/2020,194,27,12
6/14/2020,181,42,22
6/15/2020,361,50,18
6/16/2020,404,46,20
6/17/2020,339,43,19
6/18/2020,349,36,16
6/19/2020,332,36,16
6/20/2020,181,26,18
6/21/2020,137,30,24
6/22/2020,283,32,16
6/23/2020,166,35,16
6/24/2020,154,17,10
6/25/2020,88,2,4
6/26/2020,12,0,0
